REMARK,Name,ZINC ID,File
,,ZINC000924554774,/mnt/g/docking-outputs/CFADMN.xad_ligand_000085.pdbqt_14b7ebf2-076e-496e-9e74-64a6eccad152.pdbqt
,,ZINC000870235067,/mnt/g/docking-outputs/CFADRN.xbx_ligand_001285.pdbqt_54b16043-e852-46ec-ae60-a3b339435760.pdbqt
,,ZINC000575957385,/mnt/g/docking-outputs/CFADRN.xbx_ligand_026873.pdbqt_0a9597d7-1a24-4a76-aebc-22a3bb7a855f.pdbqt
,,ZINC000811426569,/mnt/g/docking-outputs/CFADRN.xbx_ligand_044196.pdbqt_1d662e23-d07a-4a7f-b69f-7a61a2ca7add.pdbqt
,,ZINC001168733702,/mnt/g/docking-outputs/CFADRN.xbx_ligand_066991.pdbqt_f37b9998-82fb-4d22-bd9b-6babe634ab6e.pdbqt
,,ZINC000488675918,/mnt/g/docking-outputs/CFADRN.xbx_ligand_080222.pdbqt_7dab14e8-0bab-4035-9117-110f4255bfcf.pdbqt
,,ZINC000286190168,/mnt/g/docking-outputs/CFADRN.xbx_ligand_099806.pdbqt_cbbb5e06-e14b-4a79-b949-458d4fab3d6d.pdbqt
