binding_site,entry_count,cuda_setup_s_avg,rest_setup_s_avg,total_setup_s_avg,job_wait_s_avg,job_duration_s_avg,run_time_s_avg,processing_time_s_avg,run_plus_processing_s_avg,shutdown_s_avg,gpu_memory_mb_avg,cuda_setup_s_sum,rest_setup_s_sum,total_setup_s_sum,job_wait_s_sum,job_duration_s_sum,run_time_s_sum,processing_time_s_sum,run_plus_processing_s_sum,shutdown_s_sum,gpu_memory_mb_sum
1,64,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32,15.284992,2.763776,18.048768000000003,41.152,15.296,60.096,3.584,63.68,0.080832,4692.48
2,1664,0.12899526923076923,0.03951526923076923,0.16851053846153846,0.5382307692307693,0.2590769230769231,0.8556923076923076,0.05734615384615384,0.9130384615384616,0.0013571153846153846,74.0026923076923,214.64812799999999,65.753408,280.401536,895.6160000000001,431.104,1423.8719999999998,95.42399999999999,1519.296,2.25824,123140.47999999998
3,1664,0.12933326923076924,0.03997903846153846,0.1693123076923077,0.5419615384615385,0.2599230769230769,0.8606153846153846,0.057576923076923074,0.9181923076923078,0.0014125384615384616,75.6853846153846,215.21056000000002,66.52512,281.73568,901.8240000000001,432.512,1432.0639999999999,95.80799999999999,1527.872,2.350464,125940.47999999998
4,1664,0.1300361153846154,0.04041307692307693,0.17044919230769232,0.5409615384615385,0.26319230769230767,0.9015,0.09623076923076922,0.9977307692307693,0.001445923076923077,76.09884615384614,216.380096,67.24736,283.627456,900.1600000000001,437.952,1500.096,160.128,1660.2240000000002,2.406016,126628.47999999998
5,1664,0.13032315384615384,0.04024911538461539,0.1705722692307692,0.5403461538461539,0.26211538461538464,0.8608846153846154,0.05723076923076923,0.9181153846153846,0.0014135769230769232,76.32,216.857728,66.974528,283.832256,899.1360000000001,436.16,1432.512,95.232,1527.744,2.352192,126996.47999999998
6,1664,0.13046084615384615,0.0397765,0.17023734615384617,0.540923076923077,0.2599230769230769,0.8595384615384615,0.05753846153846154,0.9170769230769231,0.0014456923076923076,77.98347355769229,217.086848,66.188096,283.274944,900.096,432.512,1430.272,95.744,1526.016,2.4056319999999998,129764.49999999999
