REMARK,Name,ZINC ID,File
,,ZINC000004471415,/mnt/g/docking-outputs/CDCAMN.xaa_ligand_026.pdbqt_06be8443-5f5c-4ece-8852-586427e0f757.pdbqt
,,ZINC000000808027,/mnt/g/docking-outputs/CEBARN.xaa_ligand_0224.pdbqt_611e6081-8244-4fe7-9f98-4bce18a1c1cd.pdbqt
,,ZINC000000134139,/mnt/g/docking-outputs/CEBARN.xaa_ligand_0821.pdbqt_f3fcde18-4dcc-447e-9e37-4c93c4a67956.pdbqt
,,ZINC000043591551,/mnt/g/docking-outputs/CFADRN.xbx_ligand_044154.pdbqt_063c616d-1a08-4212-9826-0a9b2329149b.pdbqt
