# receptor	site_id	cx	cy	cz	nx	ny	nz	spacing	r_peak	F
5i6x-edited	S1	-38.785	-18.260	4.970	97	97	97	0.375	4.50	0.875
5i6x-edited	S2	-35.410	-8.509	11.719	97	97	97	0.375	4.50	0.875
5i6x-edited	S3	-28.285	-8.884	4.970	97	97	97	0.375	4.50	0.875
5i6x-edited	S4	-26.035	-3.260	8.344	97	97	97	0.375	4.50	0.875
5i6x-edited	S5	-24.535	2.365	10.969	97	97	97	0.375	4.50	0.875
5i6x-edited	S6	-44.785	-23.135	4.970	97	97	97	0.375	4.50	0.875
